case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
AUTHORITY1_secret_attributes.dat,,,,43447
gp.dat,,,,151
USER1_secret_keys.dat,,,,4324
USER2_secret_keys.dat,,,,10766
AUTHORITY2_public_attributes.dat,,,,3198
.dat,,,,10485792
AUTHORITY1_public_attributes.dat,,,,3198
.meta,,,,8826
USER1.der,,,,1192
AUTHORITY2_secret_attributes.dat,,,,43447
gp.dat,256,,,
USER1_secret_keys.dat,1715,,,
USER2_secret_keys.dat,3201,,,
USER1_registration.dat,385,,,
.dat,10485792,,,
AUTHORITY2_secret_attributes.dat,845,,,
AUTHORITY1_secret_attributes.dat,845,,,
USER2_registration.dat,385,,,
AUTHORITY2_public_attributes.dat,1731,,,
AUTHORITY1_public_attributes.dat,1731,,,
.meta,7629,,,
USER1.der,1192,,,
AUTHORITY1_secret_attributes.dat,,1103,,
gp.dat,,151,,
USER1_secret_keys.dat,,1020,,
USER2_secret_keys.dat,,2506,,
AUTHORITY2_public_attributes.dat,,3143,,
.dat,,10485792,,
AUTHORITY1_public_attributes.dat,,3143,,
.meta,,5140,,
USER1.der,,1192,,
AUTHORITY2_secret_attributes.dat,,1103,,
AUTHORITY1_secret_attributes.dat,,,156,
gp.dat,,,444,
USER1_secret_keys.dat,,,1905,
USER2_secret_keys.dat,,,4699,
AUTHORITY2_public_attributes.dat,,,360,
.dat,,,10485792,
AUTHORITY1_public_attributes.dat,,,360,
.meta,,,9156,
USER1.der,,,1191,
AUTHORITY2_secret_attributes.dat,,,156,
